MODE,FREQUENCY,MODAL MASS,KENE,X-DIR,RATIO%,Y-DIR,RATIO%,Z-DIR,RATIO%
280,1317.,0.1348E-03,4612.,0.000,0.00,0.000,0.00,0.000,0.00
281,1329.,0.1750E-03,6098.,0.000,0.00,0.000,0.00,0.000,0.00
282,1335.,0.2196E-03,7722.,0.000,0.00,0.000,0.00,0.000,0.00
283,1342.,0.1361E-03,4839.,0.000,0.00,0.000,0.00,0.000,0.00
284,1343.,0.9780E-04,3481.,0.000,0.00,0.000,0.00,0.000,0.00
285,1347.,0.8686E-04,3109.,0.000,0.00,0.000,0.00,0.000,0.00
286,1349.,0.1556E-03,5591.,0.000,0.00,0.000,0.00,0.000,0.00
287,1355.,0.3695E-03,0.1339E+05,0.000,0.00,0.000,0.00,0.000,0.00
288,1358.,0.6893E-04,2509.,0.000,0.00,0.000,0.00,0.000,0.00
289,1360.,0.1276E-03,4663.,0.000,0.00,0.000,0.00,0.000,0.00
290,1363.,0.1019E-03,3735.,0.000,0.00,0.000,0.00,0.000,0.00
291,1366.,0.4370E-03,0.1609E+05,0.000,0.00,0.000,0.00,0.000,0.00
292,1381.,0.2433E-03,9161.,0.000,0.00,0.000,0.00,0.000,0.00
293,1385.,0.4694E-03,0.1778E+05,0.000,0.00,0.000,0.00,0.000,0.00
294,1386.,0.5585E-03,0.2117E+05,0.000,0.00,0.000,0.00,0.000,0.00
295,1395.,0.1362E-03,5236.,0.000,0.00,0.000,0.00,0.000,0.00
296,1401.,0.1800E-03,6980.,0.000,0.00,0.000,0.00,0.000,0.00
297,1406.,0.9188E-04,3583.,0.000,0.00,0.000,0.00,0.000,0.00
298,1414.,0.2174E-03,8582.,0.000,0.00,0.000,0.00,0.000,0.00
299,1418.,0.1664E-03,6608.,0.000,0.00,0.000,0.00,0.000,0.00
300,1426.,0.8721E-03,0.3499E+05,0.000,0.00,0.000,0.00,0.000,0.00
301,1427.,0.2969E-03,0.1193E+05,0.000,0.00,0.000,0.00,0.000,0.00
302,1430.,0.1249E-03,5044.,0.000,0.00,0.000,0.00,0.000,0.00
303,1449.,0.8127E-04,3370.,0.000,0.00,0.000,0.00,0.000,0.00
304,1463.,0.3042E-03,0.1286E+05,0.000,0.00,0.000,0.00,0.000,0.00
305,1467.,0.2328E-03,9892.,0.000,0.00,0.000,0.00,0.000,0.00
306,1481.,0.9696E-04,4200.,0.000,0.00,0.000,0.00,0.000,0.00
307,1487.,0.1680E-03,7333.,0.000,0.00,0.000,0.00,0.000,0.00
308,1492.,0.5662E-03,0.2489E+05,0.000,0.00,0.000,0.00,0.000,0.00
309,1499.,0.2831E-03,0.1256E+05,0.000,0.00,0.000,0.00,0.000,0.00
310,1501.,0.1127E-03,5016.,0.000,0.00,0.000,0.00,0.000,0.00
311,1515.,0.1358E-03,6149.,0.000,0.00,0.000,0.00,0.000,0.00
312,1531.,0.9477E-04,4383.,0.000,0.00,0.000,0.00,0.000,0.00
313,1533.,0.1537E-03,7130.,0.000,0.00,0.000,0.00,0.000,0.00
314,1539.,0.1128E-02,0.5270E+05,0.000,0.00,0.000,0.00,0.000,0.00
315,1543.,0.7626E-04,3585.,0.000,0.00,0.000,0.00,0.000,0.00
316,1553.,0.1558E-03,7415.,0.000,0.00,0.000,0.00,0.000,0.00
317,1562.,0.1195E-03,5752.,0.000,0.00,0.000,0.00,0.000,0.00
318,1573.,0.3234E-03,0.1579E+05,0.000,0.00,0.000,0.00,0.000,0.00
319,1576.,0.3727E-03,0.1828E+05,0.000,0.00,0.000,0.00,0.000,0.00
320,1579.,0.3523E-03,0.1733E+05,0.000,0.00,0.000,0.00,0.000,0.00
