MODE,FREQUENCY,PERIOD,PARTIC.FACTOR,RATIO,EFFECTIVE MASS,MASS FRACTION,TO TOTAL MASS
262,1202.91,0.83132E-03,0.0000,0.000000,0.00000,1.00000,0.00000
263,1205.62,0.82945E-03,0.0000,0.000000,0.00000,1.00000,0.00000
264,1210.78,0.82592E-03,0.0000,0.000000,0.00000,1.00000,0.00000
265,1211.91,0.82514E-03,0.0000,0.000000,0.00000,1.00000,0.00000
266,1219.11,0.82027E-03,0.0000,0.000000,0.00000,1.00000,0.00000
267,1222.51,0.81799E-03,0.0000,0.000000,0.00000,1.00000,0.00000
268,1226.97,0.81502E-03,0.0000,0.000000,0.00000,1.00000,0.00000
269,1230.30,0.81281E-03,0.0000,0.000000,0.00000,1.00000,0.00000
270,1239.59,0.80672E-03,0.0000,0.000000,0.00000,1.00000,0.00000
271,1243.56,0.80414E-03,0.0000,0.000000,0.00000,1.00000,0.00000
272,1254.39,0.79720E-03,0.0000,0.000000,0.00000,1.00000,0.00000
273,1264.79,0.79064E-03,0.0000,0.000000,0.00000,1.00000,0.00000
274,1273.81,0.78504E-03,0.0000,0.000000,0.00000,1.00000,0.00000
275,1291.26,0.77444E-03,0.0000,0.000000,0.00000,1.00000,0.00000
276,1297.24,0.77086E-03,0.0000,0.000000,0.00000,1.00000,0.00000
277,1298.73,0.76998E-03,0.0000,0.000000,0.00000,1.00000,0.00000
278,1312.13,0.76212E-03,0.0000,0.000000,0.00000,1.00000,0.00000
279,1315.35,0.76026E-03,0.0000,0.000000,0.00000,1.00000,0.00000
280,1316.72,0.75946E-03,0.0000,0.000000,0.00000,1.00000,0.00000
281,1328.52,0.75272E-03,0.0000,0.000000,0.00000,1.00000,0.00000
282,1334.66,0.74926E-03,0.0000,0.000000,0.00000,1.00000,0.00000
283,1342.23,0.74503E-03,0.0000,0.000000,0.00000,1.00000,0.00000
284,1342.79,0.74472E-03,0.0000,0.000000,0.00000,1.00000,0.00000
285,1346.56,0.74263E-03,0.0000,0.000000,0.00000,1.00000,0.00000
286,1349.05,0.74126E-03,0.0000,0.000000,0.00000,1.00000,0.00000
287,1354.99,0.73802E-03,0.0000,0.000000,0.00000,1.00000,0.00000
288,1357.84,0.73647E-03,0.0000,0.000000,0.00000,1.00000,0.00000
289,1360.44,0.73506E-03,0.0000,0.000000,0.00000,1.00000,0.00000
290,1362.71,0.73383E-03,0.0000,0.000000,0.00000,1.00000,0.00000
291,1365.61,0.73227E-03,0.0000,0.000000,0.00000,1.00000,0.00000
292,1381.06,0.72408E-03,0.0000,0.000000,0.00000,1.00000,0.00000
293,1385.23,0.72190E-03,0.0000,0.000000,0.00000,1.00000,0.00000
294,1385.68,0.72167E-03,0.0000,0.000000,0.00000,1.00000,0.00000
295,1395.47,0.71660E-03,0.0000,0.000000,0.00000,1.00000,0.00000
296,1401.41,0.71357E-03,0.0000,0.000000,0.00000,1.00000,0.00000
297,1405.58,0.71145E-03,0.0000,0.000000,0.00000,1.00000,0.00000
298,1414.16,0.70713E-03,0.0000,0.000000,0.00000,1.00000,0.00000
299,1418.42,0.70501E-03,0.0000,0.000000,0.00000,1.00000,0.00000
300,1425.72,0.70140E-03,0.0000,0.000000,0.00000,1.00000,0.00000
301,1426.59,0.70097E-03,0.0000,0.000000,0.00000,1.00000,0.00000
302,1430.03,0.69929E-03,0.0000,0.000000,0.00000,1.00000,0.00000
303,1449.44,0.68992E-03,0.0000,0.000000,0.00000,1.00000,0.00000
304,1463.20,0.68343E-03,0.0000,0.000000,0.00000,1.00000,0.00000
305,1467.25,0.68155E-03,0.0000,0.000000,0.00000,1.00000,0.00000
306,1481.35,0.67506E-03,0.0000,0.000000,0.00000,1.00000,0.00000
307,1487.15,0.67243E-03,0.0000,0.000000,0.00000,1.00000,0.00000
308,1492.43,0.67005E-03,0.0000,0.000000,0.00000,1.00000,0.00000
309,1499.18,0.66703E-03,0.0000,0.000000,0.00000,1.00000,0.00000
310,1501.34,0.66607E-03,0.0000,0.000000,0.00000,1.00000,0.00000
311,1514.84,0.66013E-03,0.0000,0.000000,0.00000,1.00000,0.00000
312,1530.69,0.65330E-03,0.0000,0.000000,0.00000,1.00000,0.00000
313,1533.01,0.65231E-03,0.0000,0.000000,0.00000,1.00000,0.00000
314,1538.63,0.64993E-03,0.0000,0.000000,0.00000,1.00000,0.00000
315,1543.13,0.64803E-03,0.0000,0.000000,0.00000,1.00000,0.00000
316,1552.71,0.64404E-03,0.0000,0.000000,0.00000,1.00000,0.00000
317,1561.74,0.64031E-03,0.0000,0.000000,0.00000,1.00000,0.00000
318,1572.97,0.63574E-03,0.0000,0.000000,0.00000,1.00000,0.00000
319,1576.44,0.63434E-03,0.0000,0.000000,0.00000,1.00000,0.00000
320,1578.76,0.63341E-03,0.0000,0.000000,0.00000,1.00000,0.00000
321,1584.11,0.63127E-03,0.0000,0.000000,0.00000,1.00000,0.00000
322,1596.54,0.62635E-03,0.0000,0.000000,0.00000,1.00000,0.00000
323,1599.30,0.62527E-03,0.0000,0.000000,0.00000,1.00000,0.00000
324,1603.46,0.62365E-03,0.0000,0.000000,0.00000,1.00000,0.00000
325,1606.21,0.62258E-03,0.0000,0.000000,0.00000,1.00000,0.00000
326,1615.42,0.61904E-03,0.0000,0.000000,0.00000,1.00000,0.00000
327,1624.67,0.61551E-03,0.0000,0.000000,0.00000,1.00000,0.00000
328,1632.70,0.61248E-03,0.0000,0.000000,0.00000,1.00000,0.00000
329,1637.46,0.61070E-03,0.0000,0.000000,0.00000,1.00000,0.00000
330,1641.95,0.60903E-03,0.0000,0.000000,0.00000,1.00000,0.00000
331,1644.35,0.60814E-03,0.0000,0.000000,0.00000,1.00000,0.00000
332,1645.45,0.60774E-03,0.0000,0.000000,0.00000,1.00000,0.00000
333,1654.60,0.60438E-03,0.0000,0.000000,0.00000,1.00000,0.00000
334,1658.63,0.60291E-03,0.0000,0.000000,0.00000,1.00000,0.00000
335,1663.40,0.60118E-03,0.0000,0.000000,0.00000,1.00000,0.00000
336,1670.31,0.59869E-03,0.0000,0.000000,0.00000,1.00000,0.00000
337,1678.36,0.59582E-03,0.0000,0.000000,0.00000,1.00000,0.00000
338,1680.68,0.59500E-03,0.0000,0.000000,0.00000,1.00000,0.00000
339,1686.87,0.59281E-03,0.0000,0.000000,0.00000,1.00000,0.00000
340,1694.09,0.59029E-03,0.0000,0.000000,0.00000,1.00000,0.00000
341,1700.89,0.58793E-03,0.0000,0.000000,0.00000,1.00000,0.00000
